Event Index,Era,Date,Block,Extrinsic Index,Value,Action,Stash,Reward Account,Validator Stash
15274087-49,1058,2023-04-27 13:00:42,15274087,15274087-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274086-92,1058,2023-04-27 13:00:36,15274086,15274086-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274086-76,1058,2023-04-27 13:00:36,15274086,15274086-2,248.7903050055,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274085-90,1058,2023-04-27 13:00:30,15274085,15274085-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274085-79,1058,2023-04-27 13:00:30,15274085,15274085-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274085-74,1058,2023-04-27 13:00:30,15274085,15274085-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274085-53,1058,2023-04-27 13:00:30,15274085,15274085-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274084-61,1058,2023-04-27 13:00:24,15274084,15274084-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274081-109,1058,2023-04-27 13:00:06,15274081,15274081-6,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274079-99,1058,2023-04-27 12:59:54,15274079,15274079-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15274079-105,1058,2023-04-27 12:59:54,15274079,15274079-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15263310-132,1058,2023-04-26 19:02:36,15263310,15263310-2,272.6463478789,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255031-57,1057,2023-04-26 05:14:24,15255031,15255031-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255031-50,1057,2023-04-26 05:14:24,15255031,15255031-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255031-45,1057,2023-04-26 05:14:24,15255031,15255031-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255031-40,1057,2023-04-26 05:14:24,15255031,15255031-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255028-77,1057,2023-04-26 05:14:06,15255028,15255028-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255028-72,1057,2023-04-26 05:14:06,15255028,15255028-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255028-67,1057,2023-04-26 05:14:06,15255028,15255028-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255028-62,1057,2023-04-26 05:14:06,15255028,15255028-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255028-51,1057,2023-04-26 05:14:06,15255028,15255028-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255028-46,1057,2023-04-26 05:14:06,15255028,15255028-3,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255026-146,1057,2023-04-26 05:13:54,15255026,15255026-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255026-140,1057,2023-04-26 05:13:54,15255026,15255026-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255026-135,1057,2023-04-26 05:13:54,15255026,15255026-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255026-130,1057,2023-04-26 05:13:54,15255026,15255026-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15247934-113,1057,2023-04-25 17:24:42,15247934,15247934-2,53.0603244419,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15246854-103,1057,2023-04-25 15:36:30,15246854,15246854-2,137.4849121461,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
15255026-46,1056,2023-04-26 05:13:54,15255026,15255026-2,0,Staking(Rewarded),16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,
